00000000001000002016;9100214;U770;1000;1500258;2;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1003408;100;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1001376;100;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1003801;200;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1001404;100;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1001409;100;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1006125;1;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1008228;2;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1005616;2;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1005058;500;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1005342;500;ST;0000000000; ; ;
00000000001000002016;9100214;U770;1000;1007831;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1500267;5;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1500268;5;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1500262;7;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1500264;7;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1500265;7;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1008227;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1009697;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1009555;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1009699;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1009701;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1500072;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1001843;10;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1001373;5000;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1005926;5000;ST;0000000000; ; ;
00000000001000002017;9100214;U770;1000;1001369;4700;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1001369;300;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1007738;30;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1007740;30;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1007739;30;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1008453;20;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1001362;20;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1001375;20;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1500258;5;ST;0000000000; ; ;
00000000001000002018;9100214;U770;1000;1500256;4;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1500001;200;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1500355;100;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1500267;10;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1500073;10;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1003408;500;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1001376;300;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1003801;300;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1001378;300;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1002016;1000;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1002023;10;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1008453;100;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1001362;140;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1002312;40;ST;0000000000; ; ;
00000000001000002019;9100214;U770;1000;1008228;1;ST;0000000000; ; ;
